"train/global_step","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756182413 - _step","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756182413 - _step__MIN","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756182413 - _step__MAX","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756182413 - train/reward","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756182413 - train/reward__MIN","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756182413 - train/reward__MAX","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756181910 - _step","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756181910 - _step__MIN","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756181910 - _step__MAX","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756181910 - train/reward","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756181910 - train/reward__MIN","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756181910 - train/reward__MAX"
"40","1159","1159","1159","0.7544053792953491","0.7544053792953491","0.7544053792953491","679","679","679","0.5774505734443665","0.5774505734443665","0.5774505734443665"
"41","1188","1188","1188","0.9071460962295532","0.9071460962295532","0.9071460962295532","696","696","696","0.590096116065979","0.590096116065979","0.590096116065979"
"42","1217","1217","1217","0.8073536157608032","0.8073536157608032","0.8073536157608032","713","713","713","0.6533423662185669","0.6533423662185669","0.6533423662185669"
"43","1246","1246","1246","0.824834406375885","0.824834406375885","0.824834406375885","730","730","730","0.5688018202781677","0.5688018202781677","0.5688018202781677"
"44","1275","1275","1275","0.9042485952377319","0.9042485952377319","0.9042485952377319","747","747","747","0.6675209403038025","0.6675209403038025","0.6675209403038025"
"45","1304","1304","1304","0.8906586170196533","0.8906586170196533","0.8906586170196533","764","764","764","0.739410400390625","0.739410400390625","0.739410400390625"
"46","1333","1333","1333","0.7904125452041626","0.7904125452041626","0.7904125452041626","781","781","781","0.6483792066574097","0.6483792066574097","0.6483792066574097"
"47","1362","1362","1362","0.8764292001724243","0.8764292001724243","0.8764292001724243","798","798","798","0.7918429374694824","0.7918429374694824","0.7918429374694824"
"48","1391","1391","1391","0.891958475112915","0.891958475112915","0.891958475112915","815","815","815","0.6937713623046875","0.6937713623046875","0.6937713623046875"
"49","1420","1420","1420","0.8311732411384583","0.8311732411384583","0.8311732411384583","832","832","832","0.7289025783538818","0.7289025783538818","0.7289025783538818"
"50","1449","1449","1449","0.913375735282898","0.913375735282898","0.913375735282898","849","849","849","0.8007302284240723","0.8007302284240723","0.8007302284240723"
"51","1478","1478","1478","0.9223278760910034","0.9223278760910034","0.9223278760910034","866","866","866","0.8918682336807251","0.8918682336807251","0.8918682336807251"
"52","1507","1507","1507","0.9222768545150757","0.9222768545150757","0.9222768545150757","883","883","883","0.7697071433067322","0.7697071433067322","0.7697071433067322"
"53","1536","1536","1536","0.9221751689910889","0.9221751689910889","0.9221751689910889","900","900","900","0.8921037912368774","0.8921037912368774","0.8921037912368774"
"54","1565","1565","1565","0.9071215391159058","0.9071215391159058","0.9071215391159058","917","917","917","0.9072953462600708","0.9072953462600708","0.9072953462600708"
"55","1594","1594","1594","0.9071003198623657","0.9071003198623657","0.9071003198623657","934","934","934","0.84624844789505","0.84624844789505","0.84624844789505"
