"train/global_step","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756185192 - _step","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756185192 - _step__MIN","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756185192 - _step__MAX","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756185192 - train/reward","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756185192 - train/reward__MIN","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756185192 - train/reward__MAX","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756184995 - _step","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756184995 - _step__MIN","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756184995 - _step__MAX","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756184995 - train/reward","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756184995 - train/reward__MIN","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756184995 - train/reward__MAX"
"107","6068.5","1818","10319","0.9379865825176239","0.9258301854133606","0.9501429796218872","3102","3102","3102","0.971149742603302","0.971149742603302","0.971149742603302"
"108","6085.5","1835","10336","0.9436400830745697","0.9336414933204651","0.9536386728286743","3131","3131","3131","0.971149742603302","0.971149742603302","0.971149742603302"
"109","6102.5","1852","10353","0.9576243162155151","0.9564956426620483","0.9587529897689819","3160","3160","3160","0.971149742603302","0.971149742603302","0.971149742603302"
"110","6119.5","1869","10370","0.9388796091079712","0.923953652381897","0.9538055658340454","3189","3189","3189","0.971149742603302","0.971149742603302","0.971149742603302"
"111","6136.5","1886","10387","0.9624723494052887","0.961391270160675","0.9635534286499023","3218","3218","3218","0.971149742603302","0.971149742603302","0.971149742603302"
"112","6153.5","1903","10404","0.9590755701065063","0.9575753211975098","0.9605758190155029","3247","3247","3247","0.9666299819946289","0.9666299819946289","0.9666299819946289"
"113","6170.5","1920","10421","0.9453842639923096","0.9313417673110962","0.959426760673523","3276","3276","3276","0.9688898324966431","0.9688898324966431","0.9688898324966431"
"114","1937","1937","1937","0.9599980115890503","0.9599980115890503","0.9599980115890503","3305","3305","3305","0.971149742603302","0.971149742603302","0.971149742603302"
"115","1954","1954","1954","0.9435537457466125","0.9435537457466125","0.9435537457466125","3334","3334","3334","0.8876657485961914","0.8876657485961914","0.8876657485961914"
"116","1971","1971","1971","0.9392772912979126","0.9392772912979126","0.9392772912979126","3363","3363","3363","0.9358059167861938","0.9358059167861938","0.9358059167861938"
"117","1988","1988","1988","0.8847696781158447","0.8847696781158447","0.8847696781158447","3392","3392","3392","0.9688898324966431","0.9688898324966431","0.9688898324966431"
"118","2005","2005","2005","0.8879801034927368","0.8879801034927368","0.8879801034927368","3421","3421","3421","0.9688898324966431","0.9688898324966431","0.9688898324966431"
"119","2022","2022","2022","0.9471218585968018","0.9471218585968018","0.9471218585968018","3450","3450","3450","0.9643701314926147","0.9643701314926147","0.9643701314926147"
"120","2039","2039","2039","0.9455240964889526","0.9455240964889526","0.9455240964889526","3479","3479","3479","0.96366947889328","0.96366947889328","0.96366947889328"
"121","2056","2056","2056","0.9489656686782837","0.9489656686782837","0.9489656686782837","3508","3508","3508","0.971149742603302","0.971149742603302","0.971149742603302"
"122","2073","2073","2073","0.9536634087562561","0.9536634087562561","0.9536634087562561","3537","3537","3537","0.971149742603302","0.971149742603302","0.971149742603302"
"123","2090","2090","2090","0.9433325529098511","0.9433325529098511","0.9433325529098511","3566","3566","3566","0.971149742603302","0.971149742603302","0.971149742603302"
"124","2107","2107","2107","0.9341111779212952","0.9341111779212952","0.9341111779212952","3595","3595","3595","0.971149742603302","0.971149742603302","0.971149742603302"
"125","2124","2124","2124","0.935706615447998","0.935706615447998","0.935706615447998","3624","3624","3624","0.971149742603302","0.971149742603302","0.971149742603302"
"126","2141","2141","2141","0.9612904787063599","0.9612904787063599","0.9612904787063599","3653","3653","3653","0.971149742603302","0.971149742603302","0.971149742603302"
"127","2158","2158","2158","0.9453202486038208","0.9453202486038208","0.9453202486038208","3682","3682","3682","0.971149742603302","0.971149742603302","0.971149742603302"
"128","2175","2175","2175","0.9375813007354736","0.9375813007354736","0.9375813007354736","3711","3711","3711","0.971149742603302","0.971149742603302","0.971149742603302"
"129","2192","2192","2192","0.9608418941497803","0.9608418941497803","0.9608418941497803","3740","3740","3740","0.970442533493042","0.970442533493042","0.970442533493042"
"130","2209","2209","2209","0.9271329045295715","0.9271329045295715","0.9271329045295715","3769","3769","3769","0.9688898324966431","0.9688898324966431","0.9688898324966431"
"131","2226","2226","2226","0.9330145120620728","0.9330145120620728","0.9330145120620728","3798","3798","3798","0.9688898324966431","0.9688898324966431","0.9688898324966431"
"132","2243","2243","2243","0.8915931582450867","0.8915931582450867","0.8915931582450867","3827","3827","3827","0.971149742603302","0.971149742603302","0.971149742603302"
"133","2260","2260","2260","0.9491575956344604","0.9491575956344604","0.9491575956344604","3856","3856","3856","0.9539244771003723","0.9539244771003723","0.9539244771003723"
"134","2277","2277","2277","0.9505612850189209","0.9505612850189209","0.9505612850189209","3885","3885","3885","0.9561318159103394","0.9561318159103394","0.9561318159103394"
"135","2294","2294","2294","0.9210052490234375","0.9210052490234375","0.9210052490234375","3914","3914","3914","0.9687999486923218","0.9687999486923218","0.9687999486923218"
"136","2311","2311","2311","0.9553240537643433","0.9553240537643433","0.9553240537643433","3943","3943","3943","0.957877516746521","0.957877516746521","0.957877516746521"
"137","2328","2328","2328","0.9113767147064209","0.9113767147064209","0.9113767147064209","3972","3972","3972","0.9604009389877319","0.9604009389877319","0.9604009389877319"
"138","2345","2345","2345","0.9412180185317993","0.9412180185317993","0.9412180185317993","4001","4001","4001","0.95610111951828","0.95610111951828","0.95610111951828"
"139","2362","2362","2362","0.9311507344245911","0.9311507344245911","0.9311507344245911","4030","4030","4030","0.933769702911377","0.933769702911377","0.933769702911377"
"140","2379","2379","2379","0.9138270616531372","0.9138270616531372","0.9138270616531372","4059","4059","4059","0.9245448708534241","0.9245448708534241","0.9245448708534241"
"141","2396","2396","2396","0.948936939239502","0.948936939239502","0.948936939239502","4088","4088","4088","0.9269302487373352","0.9269302487373352","0.9269302487373352"
"142","2413","2413","2413","0.9586184024810791","0.9586184024810791","0.9586184024810791","4117","4117","4117","0.9426838755607605","0.9426838755607605","0.9426838755607605"
"143","2430","2430","2430","0.9413804411888123","0.9413804411888123","0.9413804411888123","4146","4146","4146","0.9385443925857544","0.9385443925857544","0.9385443925857544"
"144","2447","2447","2447","0.8830531239509583","0.8830531239509583","0.8830531239509583","4175","4175","4175","0.9230182766914368","0.9230182766914368","0.9230182766914368"
"145","2464","2464","2464","0.9493459463119507","0.9493459463119507","0.9493459463119507","4204","4204","4204","0.9321551322937012","0.9321551322937012","0.9321551322937012"
"146","2481","2481","2481","0.9332284331321716","0.9332284331321716","0.9332284331321716","4233","4233","4233","0.9344216585159302","0.9344216585159302","0.9344216585159302"
"147","2498","2498","2498","0.9508926868438721","0.9508926868438721","0.9508926868438721","4262","4262","4262","0.95113205909729","0.95113205909729","0.95113205909729"
"148","2515","2515","2515","0.9391361474990845","0.9391361474990845","0.9391361474990845","4291","4291","4291","0.9581459760665894","0.9581459760665894","0.9581459760665894"
"149","2532","2532","2532","0.9286524057388306","0.9286524057388306","0.9286524057388306","4320","4320","4320","0.9533941745758057","0.9533941745758057","0.9533941745758057"
"150","2549","2549","2549","0.9222347736358643","0.9222347736358643","0.9222347736358643","4349","4349","4349","0.929902195930481","0.929902195930481","0.929902195930481"
"151","2566","2566","2566","0.8302353620529175","0.8302353620529175","0.8302353620529175","4378","4378","4378","0.9649819731712341","0.9649819731712341","0.9649819731712341"
"152","2583","2583","2583","0.8042791485786438","0.8042791485786438","0.8042791485786438","4407","4407","4407","0.9623843431472778","0.9623843431472778","0.9623843431472778"
"153","2600","2600","2600","0.8024396896362305","0.8024396896362305","0.8024396896362305","4436","4436","4436","0.9478936791419983","0.9478936791419983","0.9478936791419983"
"154","2617","2617","2617","0.8866727352142334","0.8866727352142334","0.8866727352142334","4465","4465","4465","0.922214925289154","0.922214925289154","0.922214925289154"
"155","2634","2634","2634","0.8900312185287476","0.8900312185287476","0.8900312185287476","4494","4494","4494","0.9526586532592773","0.9526586532592773","0.9526586532592773"
"156","2651","2651","2651","0.8968135118484497","0.8968135118484497","0.8968135118484497","4523","4523","4523","0.9412429332733154","0.9412429332733154","0.9412429332733154"
"157","2668","2668","2668","0.8335224390029907","0.8335224390029907","0.8335224390029907","4552","4552","4552","0.9374096989631653","0.9374096989631653","0.9374096989631653"
"158","2685","2685","2685","0.8458765149116516","0.8458765149116516","0.8458765149116516","4581","4581","4581","0.9354988932609558","0.9354988932609558","0.9354988932609558"
"159","2702","2702","2702","0.936501145362854","0.936501145362854","0.936501145362854","4610","4610","4610","0.9297841787338257","0.9297841787338257","0.9297841787338257"
"160","2719","2719","2719","0.9327455759048462","0.9327455759048462","0.9327455759048462","4639","4639","4639","0.914987325668335","0.914987325668335","0.914987325668335"
"161","2736","2736","2736","0.9404191970825195","0.9404191970825195","0.9404191970825195","4668","4668","4668","0.9156844615936279","0.9156844615936279","0.9156844615936279"
"162","2753","2753","2753","0.9518865346908569","0.9518865346908569","0.9518865346908569","4697","4697","4697","0.9206869602203369","0.9206869602203369","0.9206869602203369"
"163","2770","2770","2770","0.8669968247413635","0.8669968247413635","0.8669968247413635","4726","4726","4726","0.9343752264976501","0.9343752264976501","0.9343752264976501"
"164","2787","2787","2787","0.9307379722595215","0.9307379722595215","0.9307379722595215","4755","4755","4755","0.9108231067657471","0.9108231067657471","0.9108231067657471"
"165","2804","2804","2804","0.923511803150177","0.923511803150177","0.923511803150177","4784","4784","4784","0.9407094120979309","0.9407094120979309","0.9407094120979309"
