"train/global_step","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756158958 - _step","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756158958 - _step__MIN","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756158958 - _step__MAX","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756158958 - train/reward","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756158958 - train/reward__MIN","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756158958 - train/reward__MAX","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1755898769 - _step","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1755898769 - _step__MIN","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1755898769 - _step__MAX","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1755898769 - train/reward","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1755898769 - train/reward__MIN","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1755898769 - train/reward__MAX"
"94","2725","2725","2725","0.9686843156814575","0.9686843156814575","0.9686843156814575","1597","1597","1597","0.9990065097808838","0.9990065097808838","0.9990065097808838"
"95","2754","2754","2754","0.9996199011802673","0.9996199011802673","0.9996199011802673","1614","1614","1614","0.998856782913208","0.998856782913208","0.998856782913208"
"96","2783","2783","2783","0.9997004866600037","0.9997004866600037","0.9997004866600037","1631","1631","1631","0.9683171510696411","0.9683171510696411","0.9683171510696411"
"97","2812","2812","2812","0.9996135234832764","0.9996135234832764","0.9996135234832764","1648","1648","1648","0.9985676407814026","0.9985676407814026","0.9985676407814026"
"98","2841","2841","2841","0.9996497631072998","0.9996497631072998","0.9996497631072998","1665","1665","1665","0.9837703108787537","0.9837703108787537","0.9837703108787537"
"99","2870","2870","2870","0.9996815919876099","0.9996815919876099","0.9996815919876099","","","","","",""
"100","2899","2899","2899","0.9997336864471436","0.9997336864471436","0.9997336864471436","","","","","",""
"101","2928","2928","2928","0.9996271729469299","0.9996271729469299","0.9996271729469299","","","","","",""
"102","2957","2957","2957","0.9995962381362915","0.9995962381362915","0.9995962381362915","","","","","",""
"103","2986","2986","2986","0.9995273947715759","0.9995273947715759","0.9995273947715759","","","","","",""
"104","3015","3015","3015","0.9997210502624512","0.9997210502624512","0.9997210502624512","","","","","",""
"105","3044","3044","3044","0.984196126461029","0.984196126461029","0.984196126461029","","","","","",""
"106","3073","3073","3073","0.9843192100524902","0.9843192100524902","0.9843192100524902","","","","","",""
"107","3102","3102","3102","0.9997508525848389","0.9997508525848389","0.9997508525848389","","","","","",""
"108","3131","3131","3131","0.9997307062149048","0.9997307062149048","0.9997307062149048","","","","","",""
"109","3160","3160","3160","0.9997657537460327","0.9997657537460327","0.9997657537460327","","","","","",""
"110","3189","3189","3189","0.9378411769866943","0.9378411769866943","0.9378411769866943","","","","","",""
